iter	Passed	Remaining
0	2	2680
1	5	2765
2	8	2725
3	10	2668
4	13	2638
5	15	2637
6	36	5153
7	47	5923
8	50	5554
9	53	5248
10	55	4994
11	58	4776
12	60	4601
13	63	4455
14	65	4322
15	68	4210
16	70	4104
17	73	4011
18	76	3938
19	78	3861
20	81	3794
21	84	3738
22	86	3681
23	89	3632
24	91	3584
25	94	3538
26	97	3497
27	99	3457
28	102	3420
29	104	3385
30	107	3351
31	109	3319
32	112	3294
33	115	3280
34	143	3951
35	145	3908
36	151	3939
37	153	3897
38	156	3860
39	159	3820
40	161	3784
41	164	3756
42	167	3725
43	170	3694
44	172	3667
45	175	3646
46	178	3618
47	181	3592
48	183	3565
49	186	3539
50	188	3514
51	191	3490
52	195	3488
53	197	3466
54	200	3444
55	203	3425
56	205	3403
57	208	3381
58	210	3364
59	214	3366
60	245	3779
61	248	3757
62	251	3733
63	253	3708
64	256	3684
65	258	3661
66	261	3638
67	263	3615
68	266	3593
69	268	3573
70	271	3554
71	274	3535
72	276	3515
73	279	3495
74	281	3477
75	284	3459
76	287	3442
77	289	3426
78	292	3407
79	294	3391
80	297	3375
81	300	3359
82	303	3347
83	305	3333
84	308	3319
85	311	3305
86	313	3290
87	340	3525
88	343	3511
89	345	3494
90	348	3479
91	351	3464
92	353	3448
93	356	3434
94	358	3418
95	361	3402
96	363	3388
97	366	3374
98	369	3360
99	371	3345
100	374	3331
101	376	3317
102	379	3304
103	382	3291
104	384	3279
105	387	3266
106	389	3254
107	392	3241
108	395	3229
109	400	3242
110	403	3232
111	406	3222
112	409	3211
113	411	3200
114	442	3406
115	445	3392
116	448	3381
117	450	3368
118	453	3355
119	455	3342
120	458	3329
121	460	3316
122	463	3305
123	466	3293
124	468	3282
125	471	3269
126	473	3258
127	476	3246
128	479	3236
129	482	3226
130	484	3215
131	487	3208
132	490	3197
133	493	3187
134	495	3177
135	498	3166
136	501	3156
137	503	3145
138	506	3135
139	508	3125
140	511	3117
141	538	3252
142	541	3242
143	543	3232
144	546	3221
145	549	3211
146	551	3201
147	554	3191
148	557	3181
149	559	3171
150	562	3160
151	564	3150
152	567	3140
153	570	3131
154	572	3122
155	575	3112
156	577	3103
157	580	3093
158	583	3083
159	585	3074
