Unnamed: 0,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],metal_linker,organic_linker1,organic_linker2,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],_symmetry_Int_Tables_number,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,partial_charge_median,bond_type_countS,bond_type_countA,bond_type_countD,bond_type_countT,bond_type_countAm,label_funcgroup,label_topology,label_spacegroup,LMAE,prediction
17031,2517.446568,1884.90808,-9999.0,0.0,0.0,9,18,18,60.38694417,9.809343,1,7.207632,12.015012,29.069894,89.998703,90.000507,90.000906,0.0643229999999999,68,116,0.0,0.0,0.0,269,2,0,206.4222655518177,196.10170978842575
45490,1853.971477,1288.74536,-9999.0,0.0161,0.0138999999999999,9,5,18,18.49825015,10.554748,1,7.268044,11.97036,21.310891,90.003486,90.593729,90.000469,0.06804,84,58,0.0,2.0,0.0,69,2,0,202.47653520623157,119.70121759800531
37219,2215.559792,1448.6563199999998,589.41,0.12268,0.113,9,1,18,168.1121371,9.789654,1,21.647215,7.171653,14.993163,90.000151,107.852128,90.000022,-0.0119225,64,70,8.0,0.0,0.0,8,2,0,184.35669934105647,472.41388329201243
19039,2517.005091,1761.09752,-9999.0,0.056,0.0482,9,18,19,20.21376489,7.766546,1,23.088811,7.412033,15.544997,90.000322,108.890666,89.999617,0.0989045,138,58,0.0,4.0,0.0,158,2,0,170.47939141148666,117.56020110607423
14403,1766.030766,1359.9736,-9999.0,0.06592,0.0514999999999999,2,10,29,42.33904911,8.283146999999998,1,27.71365,8.79475,7.481777,103.457759,93.456083,93.044869,0.1469365,91,52,2.0,0.0,0.0,205,0,0,169.39827443113546,170.16203888115734
5348,1001.337154,709.20072,-9999.0,0.0,0.0,3,10,17,48.89035708,8.474463999999998,1,7.930476,8.553683,14.84821,93.650976,85.574681,92.625751,0.022358,38,31,2.0,0.0,0.0,350,0,0,169.20216814406257,160.5869341369591
53958,2430.22837,1500.73088,-9999.0,0.17027,0.166,9,16,16,70.45046415,7.664401,1,7.241174,14.997232,22.378295,89.999903,89.999422,89.99556,-0.0226605,68,80,4.0,0.0,0.0,204,2,0,167.43130888915886,456.94217580935623
27842,2134.4268,1524.84808,-9999.0,0.07889,0.0665,9,2,18,89.02600746,7.730316,1,21.661444,6.910151,14.743477,89.986432,104.72024,89.989764,-0.0209125,68,90,0.0,4.0,0.0,17,2,0,162.90584292218102,303.06150689460185
47659,4838.441492,2584.14752,1138.14,0.17652,0.199,12,1,1,37.61253614,6.971883,1,16.923163,16.923014,16.894535,90.000525,90.002164,90.00035,0.1198205,208,128,0.0,0.0,0.0,32,5,0,159.98062244192948,282.38738406780993
32898,3113.958138,1757.4164,712.95,0.1522099999999999,0.1623999999999999,9,17,17,83.84487695,8.021999000000001,1,7.093238,19.141319,22.934875,90.0,89.998137,90.002438,0.076859,136,92,0.0,0.0,0.0,69,2,0,150.71444254208984,471.2963015244044
36831,2147.628259,1608.91176,-9999.0,0.0628399999999999,0.0505,9,2,18,213.3816862,10.503197,1,21.713459,6.917687,14.882783,89.999916,106.117602,90.0,0.012823,88,90,0.0,0.0,0.0,205,2,0,150.05435556896572,313.75973575525234
14550,2497.166117,1480.36714,-9999.0,0.09206,0.0935,3,16,25,26.88702235,6.626003999999999,1,12.639381,13.040952,15.739866,93.077152,103.641484,82.185554,0.114195,125,76,0.0,2.0,0.0,398,0,0,146.88329541007892,142.21361239764434
57146,3936.200594,2549.22192,-9999.0,0.0,0.0,2,41,41,46.98998922,7.578088,1,16.828498,16.810074,16.957479,67.252701,67.535323,67.789684,-0.0020645,153,138,0.0,0.0,0.0,51,4,0,143.02513501719903,288.22083906870114
25787,1831.168134,1708.8574399999998,-9999.0,0.0,0.0,9,2,19,114.7435403,10.426923,1,16.527668,7.26207,15.308034,90.534093,94.341428,91.67756,-0.069922,62,48,16.0,4.0,0.0,9,2,0,141.77732448605443,207.73415448297055
34819,2081.909218,1729.19408,-9999.0,0.0,0.0,9,2,18,85.34745470999998,11.4047,1,21.697369,6.957034,14.175708,89.999882,103.359491,89.999679,0.0609025,88,114,0.0,0.0,0.0,37,2,0,138.16104430193906,191.55323792174056
7283,1419.056028,999.71172,649.77,0.1272899999999999,0.1087999999999999,2,5,27,45.62189783,7.333596000000002,1,19.621478,9.074105,7.970392,90.002006,89.978303,89.513977,0.122334,65,34,0.0,2.0,0.0,280,0,0,136.66587441775724,220.39288313931186
4174,5375.139361,3010.3046,-9999.0,0.1788899999999999,0.1923999999999999,4,7,7,31.52710415,6.479161,1,13.973627,13.984224,31.765724,89.985541,90.037395,120.010757,0.1577625,246,96,0.0,6.0,0.0,21,3,0,135.99929510202145,207.8478910861851
1983,1834.094148,1148.48816,-9999.0,0.14827,0.1426,3,10,29,103.1990433,8.851628,1,7.814356,8.532179,27.74493,92.31394,84.453821,94.669694,0.1088125,68,52,2.0,0.0,0.0,75,0,0,133.5275396790296,566.1609821511616
42866,1677.094131,1059.96886,929.23,0.1474,0.1404,2,4,23,38.07941031,6.805824,1,16.049183,10.879321,9.614638,91.580163,89.867371,91.999982,0.1019325,95,20,9.0,2.0,0.0,188,0,0,131.85811878165998,172.59652059592543
860,1598.407516,1110.30416,-9999.0,0.11924,0.1034,9,5,16,71.83228055,7.117019,1,18.222417,7.091867,13.004926,90.169931,72.003571,90.008012,-0.1231085,46,52,0.0,2.0,0.0,66,2,0,130.9493357136618,219.38321281718464
21424,1540.289673,955.45928,859.87,0.1464999999999999,0.1421999999999999,3,10,28,34.51030842,7.870544,1,7.758312,8.547081,23.357587,91.023914,85.684259,94.156147,0.112932,64,39,2.0,0.0,0.0,122,0,0,130.25554081679815,316.8232551442081
30575,954.238407,679.34368,-9999.0,0.0903899999999999,0.0764999999999999,3,4,5,49.8436407,7.265901999999999,1,8.911959,10.760918,9.955936,90.338455,90.043295,91.904359,0.156612,62,20,0.0,1.0,0.0,62,0,0,130.19057442655128,184.51036628754906
26766,1639.808456,1288.4905199999998,-9999.0,0.0956899999999999,0.0733,9,1,2,63.18666421,8.754899,1,6.95879,14.712823,16.018138,90.194051,89.367756,90.548078,-0.038126,70,58,0.0,0.0,0.0,250,2,0,129.9144155842743,266.9471040052822
