Unnamed: 0,MOFname,void_fraction,void_fraction_imputed,void_volume [cm^3/g],void_volume_imputed,surface_area [m^2/g],surface_area_imputed
1,mof_unit_pretest_1,0.41225,0,0.6872,0,4148.48,0
2,mof_unit_pretest_2,0.3023099999999999,0,0.3672,0,2191.34,0
3,mof_unit_pretest_3,0.2853299999999999,0,0.3256,0,2030.88,0
4,mof_unit_pretest_4,0.41963,0,0.6474999999999999,0,3587.13,0
5,mof_unit_pretest_5,0.0705999999999999,0,0.0466,0,269.4517822265625,1
6,mof_unit_pretest_6,0.20913,0,0.221,0,1480.38,0
7,mof_unit_pretest_7,0.28863,0,0.2897,0,1769.29,0
8,mof_unit_pretest_8,0.3890199999999999,0,0.5433999999999999,0,2734.28,0
9,mof_unit_pretest_9,0.4397599999999999,0,0.7731,0,3985.18,0
10,mof_unit_pretest_10,0.2068199999999998,0,0.2121,0,1426.86,0
11,mof_unit_pretest_11,0.2860099999999999,0,0.3604,0,2213.81,0
12,mof_unit_pretest_12,0.2340199999999998,0,0.2959,0,1770.07,0
13,mof_unit_pretest_13,0.2433299999999999,0,0.2756,0,3018.695556640625,1
14,mof_unit_pretest_14,0.1329299999999999,0,0.107,0,645.62,0
15,mof_unit_pretest_15,0.0748,0,0.0533,0,277.8487548828125,1
16,mof_unit_pretest_16,0.2609599999999999,0,0.2787999999999999,0,1774.18,0
17,mof_unit_pretest_17,0.3095899999999999,0,0.3688,0,2536.87,0
18,mof_unit_pretest_18,0.4831399999999999,0,0.9375,0,3712.31,0
19,mof_unit_pretest_19,0.4154199999999999,0,0.6488,0,3478.72,0
20,mof_unit_pretest_20,0.2167699999999999,0,0.1852999999999999,0,1247.59,0
21,mof_unit_pretest_21,0.4329199999999999,0,0.6132999999999998,0,3114.67,0
22,mof_unit_pretest_22,0.20065,0,0.2074999999999999,0,1291.07,0
23,mof_unit_pretest_23,0.12567,0,0.1145999999999999,0,457.88,0
24,mof_unit_pretest_24,0.30135,0,0.3541,0,2353.16,0
25,mof_unit_pretest_25,0.0738,0,0.0543,0,1024.5869140625,1
26,mof_unit_pretest_26,0.2005899999999999,0,0.1633,0,1032.36,0
27,mof_unit_pretest_27,0.2565399999999999,0,0.2586999999999999,0,1497.16,0
28,mof_unit_pretest_28,0.2696799999999999,0,0.2973,0,1740.33,0
29,mof_unit_pretest_29,0.3866999999999999,0,0.537,0,2712.76,0
30,mof_unit_pretest_30,0.2255699999999999,0,0.2190999999999999,0,1482.66,0
31,mof_unit_pretest_31,0.31956,0,0.3931,0,2540.58,0
32,mof_unit_pretest_32,0.3657799999999999,0,0.5096,0,3117.28,0
33,mof_unit_pretest_33,0.1735899999999999,0,0.1217,0,791.22,0
34,mof_unit_pretest_34,0.4900899999999999,0,1.0379,0,4701.36,0
35,mof_unit_pretest_35,0.0991699999999999,0,0.0809,0,451.169189453125,1
36,mof_unit_pretest_36,0.2193799999999999,0,0.1905,0,1210.82,0
37,mof_unit_pretest_37,0.10188,0,0.0728,0,511.79,0
38,mof_unit_pretest_38,0.36068,0,0.4335999999999999,0,2450.29,0
39,mof_unit_pretest_39,0.36291,0,0.5771,0,3371.9,0
40,mof_unit_pretest_40,0.2998299999999999,0,0.3695999999999999,0,2413.59,0
41,mof_unit_pretest_41,0.13385,0,0.1165,0,649.6341552734375,1
42,mof_unit_pretest_42,0.12587,0,0.1121,0,834.02,0
43,mof_unit_pretest_43,0.31035,0,0.3921999999999999,0,2364.14,0
44,mof_unit_pretest_44,0.14273,0,0.14,0,990.93,0
45,mof_unit_pretest_45,0.2963799999999999,0,0.3664,0,2226.72,0
46,mof_unit_pretest_46,0.1372599999999999,0,0.1121999999999999,0,580.98,0
47,mof_unit_pretest_47,0.25901,0,0.2561999999999999,0,1686.1,0
48,mof_unit_pretest_48,0.22741,0,0.2467999999999999,0,1558.05,0
