,MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],cif_filepath,_audit_creation_date,_symmetry_space_group_name_H-M,_symmetry_Int_Tables_number,_space_group_crystal_system,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,mof_convex_hull_area,mof_convex_hull_volume,mof_convex_hull_npoints,mof_convex_hull_nsimplex,partial_charge_mean,partial_charge_median,partial_charge_std,bond_type_countS,bond_type_countA,bond_type_countT,bond_type_countD,bond_type_countAm
1,mof_unit_pretest_1,6288.293858,2271.68714,4148.48,0.41225,0.6872,OPr,4,7,27,acs,14.04879074,5.604779,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_1.cif,2012-12-11T16:23:56-0500,P1,1,triclinic,14.73863,14.733485,33.26076,96.185243,96.346479,61.370885,6288.29385827,4.593604326600976,0.7696197833311527,218,60,-3.6697247703403056e-08,0.021639,0.31430271937811116,132,114,3.0,0.0,0.0
2,mof_unit_pretest_2,1790.506437,887.7473199999998,2191.34,0.3023099999999999,0.3672,HCO-OPr,2,4,26,pcu,20.21722169,6.148776,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_2.cif,2012-12-10T19:05:23-0500,P1,1,triclinic,9.586975,10.883175,17.216352,91.54295,85.804777,89.018294,1790.50643684,2.5073903285277988,0.33519475944282534,86,62,1.1627906971914727e-08,0.0870435,0.38299342227169325,60,32,0.0,6.0,0.0
3,mof_unit_pretest_3,2348.969203,1239.7658800000002,2030.88,0.2853299999999999,0.3256,SO3H-OH,3,18,22,pcu,33.10866151,6.164397,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_3.cif,2012-12-10T18:31:48-0500,P1,1,triclinic,10.696906,14.872744,15.381956,82.207387,89.41704,104.114987,2348.96920323,2.899287612794205,0.40575730883380007,109,50,-1.8348623844571658e-08,0.038626,0.3818007627462208,66,50,0.0,8.0,0.0
4,mof_unit_pretest_4,2941.571525,1147.9514,3587.13,0.41963,0.6474999999999999,Et-OH,2,8,15,pcu,12.80056168,5.164957,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_4.cif,2012-12-10T19:35:01-0500,P1,1,triclinic,10.876118,15.862925,17.117417,94.911799,91.332405,89.779397,2941.5715247,2.4778569524252663,0.3293765127381572,116,66,8.620689651591952e-09,0.157,0.44084206065411585,79,48,0.0,2.0,0.0
5,mof_unit_pretest_5,705.397601,643.27074,0.0,0.0705999999999999,0.0466,Cl-H,3,10,22,pcu,23.39561652,7.090687,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_5.cif,2012-12-10T16:53:54-0500,P1,1,triclinic,7.797345,8.57058,10.625241,91.941185,84.771606,93.64115,705.397600854,2.498174875728416,0.3405993310604692,42,48,4.761904761777355e-08,0.024901,0.5308947224789465,39,8,0.0,2.0,0.0
6,mof_unit_pretest_6,2795.376504,1592.74518,1480.38,0.20913,0.221,OEt-COOH,9,10,28,sra,49.25180982,7.334542999999998,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_6.cif,2012-12-11T14:06:47-0500,P1,1,triclinic,6.934736,17.287508,24.086203,104.512301,90.336599,89.98414,2795.37650437,4.649901190487678,0.7733336321975305,138,60,-2.1739130433798714e-08,-0.0529675,0.45411243030402726,81,78,0.0,3.0,0.0
7,mof_unit_pretest_7,1493.202771,895.92428,1769.29,0.28863,0.2897,Cl-H,3,1,18,pcu,18.48760329,5.671204,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_7.cif,2012-12-10T18:47:43-0500,P1,1,triclinic,9.846563,10.707702,15.439886,90.14661,66.529714,89.981147,1493.20277141,2.622009387166343,0.3218183547577461,62,40,-4.838709676976523e-08,-0.029052,0.43122958549315055,32,41,0.0,0.0,0.0
8,mof_unit_pretest_8,4288.4052950000005,1848.99596,2734.28,0.3890199999999999,0.5433999999999999,CN-NH2,3,16,16,pcu,13.97259895,5.274335,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_8.cif,2012-12-10T18:04:42-0500,P1,1,triclinic,19.297189,17.767503,12.66206,90.828997,98.919109,89.82817,4288.40529491,3.7414653628502395,0.5882189397106973,178,82,1.247441600702423e-18,0.0748195,0.3463676061589005,92,112,2.0,0.0,0.0
9,mof_unit_pretest_9,6880.322139,2356.7782260000004,3985.18,0.4397599999999999,0.7731,CN-F,4,3,27,acs,10.29489266,5.064876,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_9.cif,2012-12-11T15:34:00-0500,P1,1,triclinic,15.064968,15.063563,34.982224,90.531092,90.008588,60.082226,6880.32213918,4.093294049096995,0.6020921794952974,223,38,8.968609864733034e-09,0.020604,0.29948789562935957,122,132,3.0,0.0,0.0
10,mof_unit_pretest_10,1750.548457,1027.715,1426.86,0.2068199999999998,0.2121,H-OH,2,10,29,pcu,72.74346069,7.425464,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_10.cif,2012-10-26T20:17:36-0400,P1,1,triclinic,27.814574,8.726955,7.427534,102.929022,94.052349,91.937266,1750.5484567,3.2404987658387925,0.4790718077312438,88,40,3.409090909062778e-08,0.030739000000000002,0.3845979134490937,49,52,0.0,2.0,0.0
11,mof_unit_pretest_11,4158.54216,1987.45176,2213.81,0.2860099999999999,0.3604,Pr-NHMe,4,6,17,acs,35.17498629,6.726739,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_11.cif,2012-12-11T16:09:00-0500,P1,1,triclinic,12.950252,13.284252,27.759838,94.697314,90.018096,118.997902,4158.54216026,4.3373220870062115,0.7189398838583622,186,66,0.0,0.0152255,0.321088289213854,112,99,6.0,0.0,0.0
12,mof_unit_pretest_12,7354.202104000002,3502.94744,1770.07,0.2340199999999998,0.2959,OPr-OH,4,27,27,acs,32.90207562,6.600984,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_12.cif,2012-12-11T15:18:02-0500,P1,1,triclinic,15.665027,15.687425,34.3828,89.980814,89.873478,119.496182,7354.20210429,4.29982564008346,0.7416745926895073,392,132,9.063045098980869e-18,0.1413385,0.3338370800918466,294,132,0.0,0.0,0.0
13,mof_unit_pretest_13,5067.83424,2694.70244,0.0,0.2433299999999999,0.2756,OMe-Et,3,9,9,nbo,14.18270662,5.996164,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_13.cif,2012-12-10T20:43:24-0500,P1,1,triclinic,18.655659,18.655478,18.733013,109.309471,109.354331,108.947981,5067.83423956,4.433311592131076,0.7610246197441685,294,94,-1.3605442169709444e-08,0.11845649999999999,0.38164025102789206,192,132,0.0,0.0,0.0
14,mof_unit_pretest_14,3930.439874,2941.622173,645.62,0.1329299999999999,0.107,H-F,4,4,11,acs,64.13190702,7.544046,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_14.cif,2012-12-11T15:41:04-0500,P1,1,triclinic,19.027355,10.987774,18.799986,89.986316,90.260464,89.989033,3930.43987441,4.724091644932138,0.7884095632807855,244,78,-2.04918032706326e-08,0.017575,0.39473668247512916,184,108,0.0,4.0,0.0
15,mof_unit_pretest_15,2004.557069,1695.0737800000002,0.0,0.0748,0.0533,HCO,4,14,22,acs,165.80064319999997,8.819874999999998,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_15.cif,2012-12-11T14:23:10-0500,P1,1,triclinic,11.122458,11.104663,18.701856,90.424953,89.942799,60.210016,2004.55706878,4.15506572103443,0.6669241521820866,150,52,-6.666666664637925e-09,0.0014719999999999998,0.3526306766442666,96,79,0.0,3.0,0.0
